path,obj,total
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after002-800box_peaks_clust_ch1.tif,171,15274
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after002-800box_peaks_clust_ch2.tif,370,20940
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before001-800box_peaks_clust_ch1.tif,425,37375
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell5/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before001-800box_peaks_clust_ch2.tif,4,346
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after001-600box1_peaks_clust_ch1.tif,409,30080
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after001-600box1_peaks_clust_ch2.tif,107,8576
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before003-600box1_peaks_clust_ch1.tif,388,35323
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell6/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before003-600box1_peaks_clust_ch2.tif,0,0
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after001-600box2_peaks_clust_ch1.tif,340,33990
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_after001-600box2_peaks_clust_ch2.tif,64,5587
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before003-600box2_peaks_clust_ch1.tif,317,33694
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell7/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish3_before003-600box2_peaks_clust_ch2.tif,3,142
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after002-600box1_peaks_clust_ch1.tif,349,32941
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after002-600box1_peaks_clust_ch2.tif,77,7717
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before004-600box_peaks_clust_ch1.tif,469,34549
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell8/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before004-600box_peaks_clust_ch2.tif,6,412
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after002-600box2_peaks_clust_ch1.tif,237,21905
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_after002-600box2_peaks_clust_ch2.tif,103,10773
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before004-600box2_peaks_clust_ch1.tif,336,30267
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/IntCell9/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish4_before004-600box2_peaks_clust_ch2.tif,5,748
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after-600box_peaks_clust_ch1.tif,161,11529
LD347n4/LBRFKBPGFP6DG5MAPStarFRB/MitoCell1/231214_LD347n4_HCT116_LBRFKBPGFP6DG5MAPStarFRB_dish1_after-600box_peaks_clust_ch2.tif,1,108
