"cell_channel","cond","cell_type","cell_state","rep","obj"
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",771
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",33
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",208
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",1
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",300
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",4
"ch1","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Post","LD347n6",358
"ch1","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Interphase","Pre","LD347n6",16
"ch1","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",98
"ch1","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",0
"ch1","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",139
"ch1","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",0
"ch1","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",162
"ch1","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",1
"ch1","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",182
"ch1","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",8
"ch1","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Post","LD347n6",248
"ch1","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",0
"ch2","LBRFKBPGFPStarFRB","Metaphase","Pre","LD347n6",26
